Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,FullName
Male,24,Some Travel,Technology,Very Far,California,Black or African American,Some College,Information Systems,Machine Learning Engineer,Married,128126,0,Yes,4/4/2017,No,5,0,0,5,Antonio Nayer
Female,26,Some Travel,Sales,Far,New York,White,Below High School,Marketing,Manager,Married,172070,1,No,4/9/2017,No,5,4,4,3,Hattie Algeo
Female,28,Some Travel,Technology,Very Far,California,Asian or Asian American,Some College,Computer Science,Data Scientist,Single,54536,0,No,4/23/2012,Yes,3,3,3,2,Patrice Wearing
Non-Binary,25,Some Travel,Technology,Very Close,California,Mixed or multiple ethnic groups,Some College,Business Studies,Machine Learning Engineer,Divorced,39456,2,No,4/15/2017,No,5,1,5,4,Conny Iveans
Female,25,Frequent Traveller,Technology,Close,California,Mixed or multiple ethnic groups,Bachelor's,Computer Science,Software Engineer,Single,67151,0,Yes,4/22/2017,No,5,4,5,4,Malory Dumbelton
Male,26,Frequent Traveller,Technology,Close,Illinois,White,Some College,Other,Data Scientist,Married,29449,1,No,4/22/2017,No,5,1,3,1,Lindsey Hedley
Male,28,No Travel ,Technology,Far,New York,Black or African American,High School,Information Systems,Software Engineer,Single,54324,0,Yes,9/10/2015,Yes,3,3,3,1,West Shalloo
Male,25,Some Travel,Human Resources,Very Far,California,Black or African American,Bachelor's,Economics,HR Executive,Married,132102,1,No,4/23/2017,No,5,5,5,0,Kile Notton
Female,21,Some Travel,Technology,Very Far,California,Asian or Asian American,Bachelor's,Computer Science,Software Engineer,Married,54130,3,Yes,2/6/2019,Yes,2,1,1,2,Dorise Rossant
Female,25,Some Travel,Sales,Close,Illinois,Black or African American,Some College,Marketing,Sales Executive,Single,53930,0,Yes,9/13/2018,Yes,3,2,3,1,Juditha Burdell
Female,28,Frequent Traveller,Sales,Very Far,New York,Black or African American,Below High School,Technical Degree,Sales Representative,Single,53439,0,Yes,4/27/2012,Yes,3,0,0,1,Shani Deackes
Female,26,Some Travel,Technology,Far,California,White,Some College,Computer Science,Data Scientist,Divorced,26414,2,No,5/14/2017,No,5,5,5,0,Joyous Muggleston
Male,25,Some Travel,Technology,Close,New York,White,Some College,Information Systems,Engineering Manager,Single,243908,0,No,5/15/2017,No,5,4,4,1,Clair Muldownie
Female,24,No Travel ,Technology,Far,California,Asian or Asian American,Bachelor's,Computer Science,Senior Software Engineer,Divorced,77358,1,Yes,5/30/2017,No,5,0,0,4,Frannie Dunrige
Male,22,Some Travel,Sales,Far,California,White,High School,Marketing,Sales Executive,Married,53220,2,Yes,11/28/2021,Yes,0,0,0,0,Cleve Braben
Female,25,No Travel ,Technology,Very Far,California,White,High School,Computer Science,Senior Software Engineer,Divorced,43644,2,No,6/2/2017,No,5,3,3,5,Lilith Cargen
Male,25,Some Travel,Sales,Very Far,California,Mixed or multiple ethnic groups,High School,Marketing,Sales Executive,Married,75635,2,No,6/7/2017,No,5,2,2,5,Vernor Farrell
Male,25,Frequent Traveller,Technology,Far,New York,American Indian or Alaska Native,Some College,Information Systems,Data Scientist,Single,61054,0,No,6/24/2017,No,5,0,1,0,Carlos Galia
Prefer Not To Say,23,Some Travel,Human Resources,Very Far,California,Black or African American,Below High School,Marketing ,Recruiter,Married,30683,1,No,6/25/2017,No,5,5,5,5,Sky Mattioni
Female,26,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Some College,Information Systems,Data Scientist,Married,46809,1,No,6/29/2017,No,5,0,0,2,Sosanna Armstrong
Male,26,Some Travel,Technology,Very Close,California,White,Some College,Computer Science,Software Engineer,Married,57722,1,Yes,6/30/2017,No,5,4,4,0,Bertie Murrells
Prefer Not To Say,23,Some Travel,Technology,Very Far,California,White,Bachelor's,Computer Science,Software Engineer,Divorced,23041,1,Yes,6/30/2017,No,5,1,5,3,Nat Fettes
Female,23,Some Travel,Sales,Far,New York,Other ,Bachelor's,Technical Degree,Sales Executive,Married,83677,1,Yes,7/10/2017,No,5,0,5,3,Sheryl Bridell
Female,25,Some Travel,Technology,Close,New York,Mixed or multiple ethnic groups,Some College,Business Studies,Software Engineer,Divorced,52957,1,No,7/10/2017,No,5,3,5,4,Persis Christon
Female,22,Some Travel,Technology,Very Far,California,White,Below High School,Business Studies,Data Scientist,Married,53080,1,Yes,12/24/2019,Yes,2,0,1,0,Madeleine Hazelby
Male,24,Some Travel,Technology,Very Far,California,Mixed or multiple ethnic groups,Bachelor's,Information Systems,Data Scientist,Married,38022,0,No,7/14/2017,No,5,5,5,1,Horatio Chaffen
Male,24,Frequent Traveller,Technology,Far,Illinois,White,High School,Computer Science,Data Scientist,Divorced,63078,1,No,7/17/2017,No,5,5,5,2,Tarrance Reidshaw
Non-Binary,23,Frequent Traveller,Technology,Far,California,Asian or Asian American,Some College,Information Systems,Data Scientist,Single,29890,0,No,7/24/2017,No,5,0,1,1,Damon Nice
Female,26,Some Travel,Technology,Far,California,White,Bachelor's,Computer Science,Data Scientist,Divorced,35757,1,No,7/25/2017,No,5,3,4,0,Waly McCoish
Male,25,Some Travel,Technology,Far,New York,Mixed or multiple ethnic groups,Some College,Computer Science,Software Engineer,Married,44082,0,No,7/25/2017,No,5,1,3,0,Justinian Ladell
Female,25,Some Travel,Technology,Far,California,White,Below High School,Information Systems,Senior Software Engineer,Divorced,64398,3,No,7/27/2017,No,5,2,3,3,Robena Oris
Non-Binary,26,Some Travel,Technology,Close,New York,White,Bachelor's,Computer Science,Software Engineer,Single,37530,0,No,7/30/2017,No,5,5,5,5,Ninnette Braganza
Female,25,Some Travel,Technology,Far,California,White,Bachelor's,Information Systems,Engineering Manager,Married,261970,1,Yes,7/31/2017,No,5,4,4,3,Inge Bullon
Male,43,Some Travel,Technology,Far,California,White,Some College,Computer Science,Software Engineer,Married,50946,0,Yes,3/15/2014,Yes,8,6,7,3,Edgardo McGeouch
Non-Binary,26,No Travel ,Human Resources,Far,California,White,Some College,Human Resources,HR Business Partner,Single,240035,0,Yes,8/3/2017,No,5,5,5,3,Eddi Holywell
Male,33,Some Travel,Technology,Very Close,California,Black or African American,Bachelor's,Information Systems,Engineering Manager,Single,335261,0,No,8/3/2017,No,5,5,5,0,Niki Boseley
Female,24,Some Travel,Technology,Very Far,New York,White,Some College,Information Systems,Senior Software Engineer,Single,115399,0,No,8/9/2017,No,5,5,5,3,Valenka Kayley
Female,23,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Some College,Information Systems,Software Engineer,Divorced,25500,1,No,8/12/2017,No,5,5,5,3,Allys Ruberry
Male,26,Some Travel,Technology,Very Far,California,American Indian or Alaska Native,Bachelor's,Information Systems,Engineering Manager,Divorced,292386,2,No,8/14/2017,No,5,2,2,5,Reggis Greenset
Female,24,No Travel ,Technology,Far,California,White,Bachelor's,Information Systems,Machine Learning Engineer,Married,158330,3,Yes,8/18/2017,No,5,1,3,0,Carol Burgill
Female,25,Some Travel,Sales,Very Close,California,Other ,Some College,Marketing,Sales Executive,Single,48917,0,No,8/19/2017,No,5,2,4,3,Kristal le Keux
Non-Binary,26,No Travel ,Sales,Far,Illinois,White,High School,Economics,Sales Executive,Single,65194,0,No,8/22/2017,No,5,3,4,5,Lisette Govett
Non-Binary,24,Frequent Traveller,Sales,Far,California,White,Bachelor's,Marketing ,Sales Executive,Married,56155,1,No,8/26/2017,No,5,2,2,0,Fin O'Halleghane
Male,23,Some Travel,Technology,Very Close,Illinois,Black or African American,Below High School,Other,Data Scientist,Divorced,47648,1,Yes,8/29/2017,No,5,2,4,5,Hort Rawstron
Male,25,Frequent Traveller,Technology,Far,California,Black or African American,Some College,Information Systems,Software Engineer,Married,22525,1,No,8/31/2017,No,5,3,4,5,Ebenezer Bontein
Male,26,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Master's,Computer Science,Engineering Manager,Married,246505,1,No,9/4/2017,No,5,1,3,2,Myron Millard
Female,38,Frequent Traveller,Technology,Very Far,California,White,High School,Computer Science,Engineering Manager,Single,293425,0,Yes,9/5/2017,No,5,4,4,4,Michelina Chester
Male,26,Some Travel,Technology,Far,New York,White,Below High School,Computer Science,Senior Software Engineer,Married,207687,1,Yes,9/8/2017,No,5,0,5,4,Lyn Walczynski
Male,24,Some Travel,Technology,Far,New York,Mixed or multiple ethnic groups,Bachelor's,Other,Software Engineer,Married,30720,1,No,9/9/2017,No,5,4,5,4,Granger Kenworthey
Female,24,Frequent Traveller,Sales,Far,California,Black or African American,Below High School,Economics,Sales Representative,Single,26608,0,No,9/12/2017,No,5,0,3,1,Veronique Tremelling
Male,24,Some Travel,Sales,Very Far,California,American Indian or Alaska Native,Bachelor's,Marketing,Sales Executive,Married,105502,2,No,9/12/2017,No,5,2,5,2,Edan Fechnie
Female,26,Some Travel,Technology,Very Far,Illinois,Black or African American,Some College,Computer Science,Software Engineer,Single,74096,0,No,9/19/2017,No,5,0,5,4,Letta Mattea
Female,25,No Travel ,Technology,Far,California,White,Bachelor's,Other,Senior Software Engineer,Single,68762,0,Yes,9/23/2017,No,5,3,5,4,Juliette Nissle
Female,25,Some Travel,Sales,Very Close,California,White,Below High School,Marketing,Sales Executive,Married,58631,3,Yes,9/26/2017,No,5,4,4,3,Bab Antonelli
Female,26,Frequent Traveller,Technology,Far,New York,Mixed or multiple ethnic groups,Bachelor's,Information Systems,Machine Learning Engineer,Divorced,79324,0,Yes,9/29/2017,No,5,2,3,5,Shandeigh Plott
Female,24,No Travel ,Technology,Close,California,Black or African American,High School,Information Systems,Senior Software Engineer,Married,126527,1,Yes,10/1/2017,No,5,1,5,3,Ketti Carney
Female,25,Some Travel,Technology,Very Far,New York,White,High School,Computer Science,Machine Learning Engineer,Married,80779,1,Yes,10/4/2017,No,5,1,4,5,Illa MacPherson
Female,26,Some Travel,Sales,Far,California,White,High School,Marketing ,Sales Executive,Single,62868,0,No,10/9/2017,No,5,2,4,0,Claribel Hebron
Female,24,Some Travel,Technology,Far,California,White,Some College,Information Systems,Senior Software Engineer,Married,80374,2,No,10/14/2017,No,5,4,4,4,Leia Jackes
Male,24,No Travel ,Sales,Very Close,California,American Indian or Alaska Native,Bachelor's,Marketing ,Sales Executive,Single,64277,0,No,10/15/2017,No,5,4,4,5,Matthieu Oulet
Male,41,Some Travel,Technology,Far,New York,American Indian or Alaska Native,Bachelor's,Business Studies,Senior Software Engineer,Divorced,184411,3,No,10/17/2017,No,5,5,5,4,Fremont Ackenson
Female,26,Some Travel,Technology,Very Far,California,Black or African American,Some College,Computer Science,Data Scientist,Married,34805,0,No,10/21/2017,No,5,5,5,0,Stevana Djorvic
Male,33,Frequent Traveller,Technology,Very Far,California,White,High School,Computer Science,Machine Learning Engineer,Married,200350,1,No,10/22/2017,No,5,3,5,0,Antonino Woodhams
Male,26,Some Travel,Technology,Far,California,White,Master's,Information Systems,Machine Learning Engineer,Married,78934,3,No,10/24/2017,No,5,2,2,4,Adriano Blackshaw
Male,23,Some Travel,Human Resources,Very Far,California,Other ,High School,Human Resources,HR Executive,Married,55805,1,No,10/29/2017,No,5,3,3,1,Eldredge Probyn
Male,26,Some Travel,Sales,Very Far,California,Black or African American,Some College,Marketing ,Sales Executive,Married,104176,1,No,11/3/2017,No,5,2,3,3,Wilfred Jasik
Male,18,Some Travel,Technology,Very Far,New York,White,Below High School,Computer Science,Machine Learning Engineer,Single,50660,1,Yes,4/17/2022,Yes,0,0,0,0,Lonnard Wrathmell
Female,25,Some Travel,Technology,Far,New York,Mixed or multiple ethnic groups,Some College,Business Studies,Software Engineer,Married,53271,1,No,11/19/2017,No,5,5,5,1,Brooks Lackeye
Non-Binary,24,Some Travel,Technology,Far,California,Black or African American,High School,Computer Science,Software Engineer,Single,34657,0,No,11/21/2017,No,5,5,5,2,Connie Widocks
Female,26,Frequent Traveller,Technology,Far,California,White,Bachelor's,Other,Software Engineer,Married,62602,0,Yes,11/24/2017,No,5,2,3,2,Sonja Crone
Female,35,Frequent Traveller,Technology,Very Far,New York,Mixed or multiple ethnic groups,Master's,Information Systems,Engineering Manager,Single,310285,0,Yes,11/30/2017,No,5,4,4,3,Berna Patnelli
Male,27,Frequent Traveller,Sales,Far,California,White,Some College,Technical Degree,Sales Executive,Single,50559,0,No,4/14/2015,Yes,6,0,5,5,Eugene Benstead
Male,25,Some Travel,Technology,Far,New York,Black or African American,Some College,Information Systems,Data Scientist,Divorced,37742,1,No,12/12/2017,No,5,1,3,3,Davon Swetland
Female,31,Some Travel,Technology,Very Far,New York,White,Some College,Computer Science,Engineering Manager,Married,442820,0,Yes,12/15/2017,No,5,1,2,2,Adan Sunderland
Male,26,Some Travel,Technology,Far,New York,Black or African American,Bachelor's,Business Studies,Senior Software Engineer,Married,110761,1,No,12/18/2017,No,5,0,5,3,Jourdain Kither
Male,25,Some Travel,Technology,Far,California,Native Hawaiian ,Bachelor's,Other,Engineering Manager,Divorced,204154,1,Yes,12/21/2017,No,5,2,3,0,Clint Widdicombe
Male,23,Some Travel,Technology,Close,New York,Black or African American,Some College,Computer Science,Software Engineer,Married,35776,2,Yes,12/22/2017,No,5,0,3,4,Sarge Antowski
Female,24,Some Travel,Technology,Close,New York,White,Below High School,Information Systems,Data Scientist,Single,100818,0,No,12/24/2017,No,5,1,3,0,Ashlee Mc Combe
Non-Binary,24,Some Travel,Sales,Close,Illinois,Black or African American,High School,Economics,Sales Executive,Single,85238,0,No,12/24/2017,No,5,0,4,1,Audi Pibworth
Male,24,Some Travel,Technology,Close,New York,White,Some College,Computer Science,Software Engineer,Single,33202,0,No,12/30/2017,No,5,5,5,4,Fransisco Minerdo
Female,23,Some Travel,Technology,Very Far,New York,White,High School,Business Studies,Data Scientist,Divorced,36098,3,No,1/1/2018,No,4,3,3,1,Rea Legister
Female,25,Frequent Traveller,Sales,Far,Illinois,Black or African American,High School,Technical Degree,Sales Executive,Married,91332,1,No,1/3/2018,No,4,3,3,3,Adria Smurfit
Female,22,Some Travel,Technology,Very Close,New York,White,Bachelor's,Computer Science,Data Scientist,Married,39732,1,Yes,1/8/2018,No,4,1,2,2,Sadye Wiggin
Male,25,Frequent Traveller,Sales,Very Far,Illinois,Black or African American,Some College,Marketing ,Sales Executive,Married,72758,2,No,1/12/2018,No,4,3,3,3,Bail Elsworth
Female,36,Some Travel,Human Resources,Very Far,Illinois,Black or African American,Bachelor's,Human Resources,HR Manager,Divorced,509940,3,No,1/15/2018,No,4,4,4,2,Trudi Evens
Male,24,Some Travel,Technology,Close,California,Asian or Asian American,Bachelor's,Information Systems,Software Engineer,Married,85074,1,No,1/15/2018,No,4,1,2,4,Konstantin Muldownie
Female,23,Some Travel,Sales,Far,New York,Mixed or multiple ethnic groups,Bachelor's,Economics,Sales Executive,Divorced,87629,2,No,1/19/2018,No,4,4,4,1,Edin Savill
Female,25,Some Travel,Technology,Close,New York,Black or African American,Below High School,Information Systems,Analytics Manager,Married,168483,0,Yes,1/20/2018,No,4,2,3,1,Amelia Izard
Female,29,Some Travel,Human Resources,Far,California,White,High School,Technical Degree,Recruiter,Single,49606,0,No,1/5/2012,Yes,6,1,1,6,Stace Savege
Female,23,Some Travel,Sales,Far,California,White,Some College,Other,Sales Representative,Single,27185,0,No,1/30/2018,No,4,4,4,0,Nonna Bagnold
Male,25,Frequent Traveller,Technology,Far,New York,Mixed or multiple ethnic groups,Bachelor's,Computer Science,Machine Learning Engineer,Married,96514,1,No,2/4/2018,No,4,4,4,0,Alasteir Muge
Female,27,Some Travel,Technology,Very Far,California,White,Below High School,Information Systems,Data Scientist,Single,49374,0,Yes,4/2/2014,Yes,1,0,0,1,Dot Aherne
Non-Binary,25,Some Travel,Technology,Far,Illinois,Mixed or multiple ethnic groups,Some College,Computer Science,Senior Software Engineer,Divorced,90418,2,Yes,2/14/2018,No,4,4,4,4,Ilene Moffat
Female,22,Some Travel,Technology,Far,California,American Indian or Alaska Native,Some College,Business Studies,Software Engineer,Single,30838,0,No,2/16/2018,No,4,4,4,0,Ashien Villa
Male,23,Some Travel,Sales,Very Far,New York,White,Some College,Economics,Sales Representative,Married,30477,1,No,2/20/2018,No,4,2,3,3,Hebert Drewes
Male,26,Some Travel,Technology,Close,California,White,Some College,Other,Data Scientist,Divorced,49045,1,No,1/13/2016,Yes,1,0,0,0,Ingram Franciskiewicz
Female,19,Some Travel,Technology,Very Far,California,White,Some College,Information Systems,Data Scientist,Single,49006,1,No,7/18/2022,Yes,0,0,0,0,Yelena Paskerful
Female,25,No Travel ,Technology,Close,New York,Black or African American,High School,Information Systems,Data Scientist,Divorced,28926,2,Yes,3/6/2018,No,4,1,3,4,Andra Stickney
Female,28,Frequent Traveller,Technology,Close,California,Black or African American,Some College,Computer Science,Software Engineer,Married,48930,1,Yes,3/14/2012,Yes,7,4,6,2,Darlene Mansbridge
Male,22,Some Travel,Technology,Close,Illinois,Mixed or multiple ethnic groups,Some College,Computer Science,Software Engineer,Divorced,74314,1,No,3/14/2018,No,4,0,1,3,Baxy Goodliff
Male,25,No Travel ,Technology,Very Far,California,White,Some College,Computer Science,Data Scientist,Single,33086,0,No,3/15/2018,No,4,4,4,2,Anatollo Dake
Female,40,Frequent Traveller,Sales,Very Far,New York,Asian or Asian American,Bachelor's,Marketing ,Sales Executive,Married,250555,1,Yes,3/19/2018,No,4,4,4,2,Meredith Hansod
Female,22,Some Travel,Sales,Very Far,New York,Black or African American,Some College,Marketing,Sales Executive,Single,60699,0,No,3/21/2018,No,4,0,3,0,Mollee Hartop
Male,25,Some Travel,Technology,Close,New York,White,High School,Computer Science,Engineering Manager,Married,285138,1,No,3/21/2018,No,4,0,3,4,Sheffie McCrum
Male,25,Frequent Traveller,Technology,Far,California,White,Below High School,Computer Science,Senior Software Engineer,Divorced,121373,1,No,3/21/2018,No,4,0,2,1,Kain Libero
Male,23,Some Travel,Technology,Very Far,New York,White,Some College,Information Systems,Senior Software Engineer,Married,81034,2,Yes,3/25/2018,No,4,1,1,0,Wilburt Feldhuhn
Male,23,Some Travel,Technology,Close,New York,White,Bachelor's,Other,Software Engineer,Married,42250,2,No,3/26/2018,No,4,1,2,4,Mycah Brolechan
Female,24,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Some College,Information Systems,Data Scientist,Divorced,36862,1,Yes,3/29/2018,No,4,2,4,0,Maurise Shaxby
Female,23,Frequent Traveller,Technology,Far,California,Mixed or multiple ethnic groups,Bachelor's,Computer Science,Machine Learning Engineer,Divorced,67558,1,No,3/31/2018,No,4,1,1,1,Camila Lergan
Non-Binary,25,No Travel ,Technology,Far,California,White,Bachelor's,Computer Science,Machine Learning Engineer,Single,105411,0,No,4/1/2018,No,4,2,4,2,Milicent Kiossel
Female,23,Some Travel,Sales,Close,Illinois,White,Some College,Marketing ,Sales Executive,Married,69678,1,No,4/4/2018,No,4,0,0,2,Freda Bartolijn
Female,23,Some Travel,Sales,Close,New York,Mixed or multiple ethnic groups,Bachelor's,Economics,Sales Executive,Married,78937,1,No,4/10/2018,No,4,0,3,0,Ginevra Edson
Non-Binary,25,Frequent Traveller,Technology,Very Far,New York,Black or African American,Below High School,Computer Science,Engineering Manager,Married,170803,0,No,4/20/2018,No,4,2,2,3,Agretha Shakelade
Male,25,Some Travel,Sales,Very Far,California,White,Below High School,Technical Degree,Sales Representative,Single,37461,0,No,4/23/2018,No,4,3,4,3,Vance Norsworthy
Female,39,Frequent Traveller,Technology,Far,California,White,Bachelor's,Computer Science,Engineering Manager,Single,300594,0,Yes,4/24/2018,No,4,1,4,2,Ada Bynold
Female,25,Some Travel,Sales,Far,California,White,Bachelor's,Marketing,Sales Executive,Single,167051,0,No,4/24/2018,No,4,3,4,1,Karee Cristofvao
Female,23,Some Travel,Technology,Close,New York,White,Some College,Information Systems,Software Engineer,Divorced,23995,1,No,4/27/2018,No,4,4,4,0,Jodee Vala
Female,32,Frequent Traveller,Technology,Close,California,White,Below High School,Computer Science,Data Scientist,Divorced,48835,1,Yes,2/17/2012,Yes,8,5,7,0,Alvera Kulver
Female,25,Some Travel,Technology,Far,New York,White,Bachelor's,Computer Science,Analytics Manager,Divorced,174400,1,No,4/28/2018,No,4,0,2,4,Sapphire Prayer
Female,25,Some Travel,Human Resources,Very Far,California,Mixed or multiple ethnic groups,Some College,Marketing ,HR Executive,Married,48797,2,No,4/28/2018,No,4,2,4,4,Idette Connett
Female,22,Frequent Traveller,Technology,Far,California,Mixed or multiple ethnic groups,Below High School,Information Systems,Data Scientist,Married,34193,0,No,4/29/2018,No,4,2,4,3,Ophelia Cosby
Female,25,Some Travel,Technology,Very Close,Illinois,Native Hawaiian ,Below High School,Information Systems,Software Engineer,Married,48570,1,Yes,5/3/2018,No,4,4,4,1,Lindie Oliver-Paull
Male,28,No Travel ,Technology,Far,New York,White,Bachelor's,Computer Science,Machine Learning Engineer,Divorced,193347,2,Yes,5/9/2018,No,4,4,4,0,Calv Pearcehouse
Female,25,Some Travel,Sales,Very Far,California,Mixed or multiple ethnic groups,Bachelor's,Marketing,Sales Executive,Divorced,57742,2,Yes,5/10/2018,No,4,3,4,1,Kimberlyn Preston
Male,25,Some Travel,Technology,Far,California,White,Some College,Other,Analytics Manager,Divorced,303446,1,No,5/11/2018,No,4,0,3,0,Freeland Chalcot
Female,25,No Travel ,Technology,Close,California,Black or African American,Some College,Computer Science,Data Scientist,Single,96779,0,No,5/14/2018,No,4,0,0,3,Friederike Wandrey
Male,46,Some Travel,Human Resources,Very Far,Illinois,White,Some College,Human Resources,Recruiter,Divorced,48740,3,Yes,5/20/2012,Yes,10,8,9,6,Conn Mouser
Male,25,Some Travel,Sales,Far,California,White,Bachelor's,Marketing,Sales Executive,Married,95643,1,No,5/14/2018,No,4,0,3,1,Dino Bragge
Non-Binary,24,Some Travel,Technology,Close,California,Black or African American,Bachelor's,Computer Science,Senior Software Engineer,Married,44256,2,No,5/18/2018,No,4,2,4,3,Holmes Disdel
Female,22,Some Travel,Technology,Very Far,California,White,Some College,Other,Data Scientist,Divorced,57686,2,No,5/23/2018,No,4,2,4,1,Jerrie Juares
Female,29,Some Travel,Technology,Close,New York,Black or African American,Bachelor's,Computer Science,Data Scientist,Single,48321,0,Yes,10/26/2013,Yes,7,2,3,2,Tobye Dietmar
Non-Binary,23,Some Travel,Human Resources,Very Far,California,White,Some College,Marketing ,HR Executive,Married,99052,2,No,5/25/2018,No,4,3,4,2,Lynda Robken
Male,22,Some Travel,Technology,Very Far,Illinois,Asian or Asian American,High School,Information Systems,Senior Software Engineer,Divorced,52314,2,No,5/25/2018,No,4,0,3,0,Geoff Veschambre
Female,36,No Travel ,Technology,Very Far,Illinois,White,Below High School,Information Systems,Senior Software Engineer,Divorced,356378,1,Yes,5/30/2018,No,4,2,4,4,Annmaria Keeler
Female,24,Some Travel,Sales,Very Far,California,White,High School,Economics,Sales Executive,Divorced,54841,3,Yes,5/31/2018,No,4,3,4,0,Sharlene MacGuffog
Female,24,Some Travel,Technology,Far,New York,Mixed or multiple ethnic groups,Some College,Information Systems,Data Scientist,Married,101408,3,No,5/31/2018,No,4,0,2,1,Gerta Littlewood
Male,23,Frequent Traveller,Sales,Far,California,Asian or Asian American,Bachelor's,Marketing,Sales Executive,Single,68046,0,No,6/1/2018,No,4,4,4,2,Mort Alliston
Male,24,No Travel ,Sales,Very Close,New York,White,Some College,Economics,Sales Executive,Single,128634,0,No,6/11/2018,No,4,4,4,4,Hurleigh Pashenkov
Female,24,Some Travel,Technology,Close,California,White,Bachelor's,Information Systems,Software Engineer,Married,22965,3,No,6/12/2018,No,4,4,4,4,Lelia Giles
Male,22,Some Travel,Sales,Very Far,New York,Mixed or multiple ethnic groups,Some College,Marketing ,Sales Executive,Married,52318,1,No,6/14/2018,No,4,4,4,0,Joaquin Bockmann
Male,46,Some Travel,Technology,Very Far,California,Mixed or multiple ethnic groups,Some College,Computer Science,Analytics Manager,Single,381759,0,No,6/15/2018,No,4,2,4,4,Cob Stewart
Male,24,No Travel ,Technology,Very Far,California,Asian or Asian American,Some College,Information Systems,Software Engineer,Divorced,65838,3,Yes,6/17/2018,No,4,2,2,2,Kaine Haukey
Non-Binary,25,Some Travel,Technology,Close,California,American Indian or Alaska Native,Some College,Information Systems,Senior Software Engineer,Single,126055,0,No,6/17/2018,No,4,4,4,2,Lothaire Darlow
Female,29,Some Travel,Technology,Very Far,California,Asian or Asian American,Some College,Computer Science,Data Scientist,Married,46813,0,No,5/29/2014,Yes,6,1,1,1,Lilla Ledamun
Male,36,Some Travel,Technology,Close,New York,Asian or Asian American,Some College,Computer Science,Machine Learning Engineer,Married,236739,2,No,6/26/2018,No,4,3,4,3,Dwain Nias
Female,24,Some Travel,Sales,Far,California,White,Bachelor's,Marketing ,Sales Executive,Divorced,75250,1,No,6/29/2018,No,4,0,0,0,Julee Corfield
Prefer Not To Say,25,No Travel ,Technology,Far,New York,Asian or Asian American,High School,Information Systems,Machine Learning Engineer,Divorced,83894,1,No,6/30/2018,No,4,2,2,3,Randie Tolliday
Female,23,No Travel ,Technology,Far,New York,Mixed or multiple ethnic groups,Bachelor's,Computer Science,Senior Software Engineer,Divorced,69325,1,No,7/4/2018,No,4,3,4,4,Vannie Kissell
Male,47,Some Travel,Sales,Far,California,Mixed or multiple ethnic groups,Bachelor's,Marketing,Sales Executive,Divorced,244765,2,Yes,7/4/2018,No,4,2,3,1,Marlin Egdell
Male,24,No Travel ,Sales,Close,California,Black or African American,Some College,Economics,Manager,Divorced,135407,1,No,7/5/2018,No,4,2,4,2,Gherardo Stratiff
Female,25,Some Travel,Technology,Far,California,White,Bachelor's,Computer Science,Senior Software Engineer,Single,70737,0,No,7/6/2018,No,4,3,3,3,Glenna Blackston
Non-Binary,28,Some Travel,Technology,Far,California,Native Hawaiian ,Bachelor's,Computer Science,Engineering Manager,Single,337046,0,No,7/8/2018,No,4,3,4,0,Agna Grinnov
Male,25,Some Travel,Sales,Close,California,Black or African American,Some College,Marketing ,Sales Executive,Single,58914,0,No,7/11/2018,No,4,0,1,0,Tabb McInnes
Female,25,Some Travel,Technology,Far,California,Mixed or multiple ethnic groups,Below High School,Information Systems,Software Engineer,Single,42656,0,No,7/15/2018,No,4,1,4,2,Estelle Chung
Male,29,Some Travel,Human Resources,Close,Illinois,Native Hawaiian ,Bachelor's,Technical Degree,Recruiter,Married,46703,0,No,7/31/2014,Yes,0,0,0,0,Giles Bilham
Male,29,Some Travel,Sales,Very Close,California,American Indian or Alaska Native,Some College,Other,Sales Representative,Single,46465,0,Yes,5/16/2014,Yes,4,3,3,3,Gaspar O' Concannon
Female,25,Some Travel,Technology,Very Far,New York,Mixed or multiple ethnic groups,High School,Information Systems,Engineering Manager,Married,188516,1,No,7/20/2018,No,4,1,3,1,Maridel Valentin
Non-Binary,40,Some Travel,Technology,Very Far,California,White,Bachelor's,Computer Science,Machine Learning Engineer,Divorced,265523,1,No,7/20/2018,No,4,1,3,1,Beatrix Epelett
Male,24,Frequent Traveller,Sales,Very Far,New York,Black or African American,Some College,Marketing,Sales Executive,Married,41741,1,No,7/20/2018,No,4,0,1,0,Patrice Boorman
Female,24,Some Travel,Sales,Very Far,California,Native Hawaiian ,Some College,Marketing ,Sales Executive,Single,91915,0,No,7/23/2018,No,4,0,4,4,Gwenore Bernucci
Male,21,Frequent Traveller,Sales,Very Far,Illinois,White,Bachelor's,Other,Sales Executive,Single,46452,0,Yes,11/8/2020,Yes,1,1,1,0,Jess Hoyte
Female,25,Some Travel,Technology,Close,California,Mixed or multiple ethnic groups,Some College,Information Systems,Data Scientist,Single,23198,0,No,7/26/2018,No,4,0,3,0,Cherilynn Swafford
